,id_gk,period_gk,timestamp_gk,possession_team_id_gk,possession_team_name_gk,play_pattern_id_gk,play_pattern_name_gk,team_id_gk,team_name_gk,location_gk,player_id_gk,player_name_gk,possession_team_name_shot,play_pattern_id_shot,play_pattern_name_shot,team_id_shot,team_name_shot,location_shot,player_id_shot,player_name_shot,position_id_shot,position_name_shot,shot_statsbomb_xg_shot,shot_end_location_shot,shot_outcome_id_shot,shot_outcome_name_shot,shot_technique_id_shot,shot_technique_name_shot,shot_type_id_shot,shot_type_name_shot,shot_deflected_shot,shot_body_part_id_shot,shot_body_part_name_shot,shot_freeze_frame_shot,goalkeeper_type_id_gk,goalkeeper_type_name_gk,goalkeeper_outcome_id_gk,goalkeeper_outcome_name_gk,goalkeeper_position_id_gk,goalkeeper_position_name_gk,goalkeeper_end_location_gk,match_id_gk,new_col_end,new_col_start,new_col_gk,new_col_gk_end,shot_end_x,shot_end_y,shot_end_z,shot_location_x,shot_location_y,gk_location_x,gk_location_y,gk_end_x,gk_end_y,shot_zone
0,cb1ebbe8-94fd-4ae9-ba7f-c3fd0341cf26,1,00:02:43.413,766,North Carolina Courage,1,Regular Play,766,North Carolina Courage,"[2.0, 41.0]",5102.0,Sabrina D’Angelo,Washington Spirit,1.0,Regular Play,759.0,Washington Spirit,"[106.0, 35.0]",5023.0,Mallory Pugh,15.0,Left Center Midfield,0.10288993,"[120.0, 43.6, 1.7]",97.0,Goal,93.0,Normal,87.0,Open Play,True,40.0,Right Foot,"[{'location': [109.0, 22.0], 'player': {'id': 5022, 'name': 'Francisca Ordega'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [108.0, 25.0], 'player': {'id': 5083, 'name': 'Merritt Mathias'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.0, 27.0], 'player': {'id': 5084, 'name': 'Denise O""Sullivan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [96.0, 25.0], 'player': {'id': 5091, 'name': 'McCall Zerboni'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [85.0, 23.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [102.0, 44.0], 'player': {'id': 4964, 'name': 'Ashley Hatch'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [108.0, 44.0], 'player': {'id': 5047, 'name': 'Jaelene Hinkle'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.0, 34.0], 'player': {'id': 5081, 'name': 'Abby Dahlkemper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.0, 47.0], 'player': {'id': 4946, 'name': 'Joanna Lohman'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [108.0, 54.0], 'player': {'id': 4956, 'name': 'Mallory Eubanks'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [119.0, 40.0], 'player': {'id': 5102, 'name': 'Sabrina D’Angelo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.0, 37.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.0, 40.0], 'player': {'id': 5088, 'name': 'Crystal Alyssia Dunn'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}]",26.0,Goal Conceded,55.0,No Touch,44.0,Set,,7430,"120.0, 43.6, 1.7","106.0, 35.0","2.0, 41.0",False,120.0,43.6,1.7,106.0,35.0,2.0,41.0,-1,-1,17
1,87683a41-7948-4b42-9be3-9249ec8b1e75,1,00:07:57.933,766,North Carolina Courage,2,From Corner,759,Washington Spirit,"[2.0, 41.0]",5025.0,Aubrey Bledsoe,North Carolina Courage,2.0,From Corner,766.0,North Carolina Courage,"[105.0, 39.0]",5037.0,Abby Erceg,5.0,Left Center Back,0.017331779,"[110.0, 38.0]",96.0,Blocked,93.0,Normal,87.0,Open Play,,37.0,Head,"[{'location': [118.0, 37.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.0, 40.0], 'player': {'id': 5025, 'name': 'Aubrey Bledsoe'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.0, 38.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [95.0, 43.0], 'player': {'id': 5084, 'name': 'Denise O""Sullivan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [108.0, 59.0], 'player': {'id': 5080, 'name': 'Kristen Hamilton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [101.0, 34.0], 'player': {'id': 5088, 'name': 'Crystal Alyssia Dunn'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [105.0, 31.0], 'player': {'id': 5023, 'name': 'Mallory Pugh'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [113.0, 31.0], 'player': {'id': 4956, 'name': 'Mallory Eubanks'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [105.0, 42.0], 'player': {'id': 4964, 'name': 'Ashley Hatch'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [113.0, 36.0], 'player': {'id': 4946, 'name': 'Joanna Lohman'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [108.0, 44.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.0, 43.0], 'player': {'id': 5022, 'name': 'Francisca Ordega'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [113.0, 34.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.0, 43.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [109.0, 47.0], 'player': {'id': 5055, 'name': 'Lynn Williams'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [119.0, 2.0], 'player': {'id': 5081, 'name': 'Abby Dahlkemper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [85.0, 39.0], 'player': {'id': 5083, 'name': 'Merritt Mathias'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [114.0, 35.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",32.0,Shot Faced,,,44.0,Set,"[3.0, 41.0]",7430,"110.0, 38.0","105.0, 39.0","2.0, 41.0","3.0, 41.0",110.0,38.0,,105.0,39.0,2.0,41.0,3.0,41.0,17
2,1b981ada-06eb-45c7-a51e-fb8f77701406,1,00:10:01.933,759,Washington Spirit,1,Regular Play,759,Washington Spirit,"[3.0, 42.0]",5025.0,Aubrey Bledsoe,North Carolina Courage,1.0,Regular Play,766.0,North Carolina Courage,"[106.0, 32.0]",5034.0,Jessica McDonald,22.0,Right Center Forward,0.08468561,"[119.0, 40.3, 1.6]",100.0,Saved,93.0,Normal,87.0,Open Play,,40.0,Right Foot,"[{'location': [118.0, 39.0], 'player': {'id': 5025, 'name': 'Aubrey Bledsoe'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.0, 32.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [111.0, 41.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.0, 43.0], 'player': {'id': 4946, 'name': 'Joanna Lohman'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [78.0, 54.0], 'player': {'id': 5022, 'name': 'Francisca Ordega'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [80.0, 53.0], 'player': {'id': 5083, 'name': 'Merritt Mathias'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [110.0, 15.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.0, 11.0], 'player': {'id': 4956, 'name': 'Mallory Eubanks'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [109.0, 32.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.0, 37.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [89.0, 20.0], 'player': {'id': 5023, 'name': 'Mallory Pugh'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [99.0, 44.0], 'player': {'id': 5080, 'name': 'Kristen Hamilton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [107.0, 38.0], 'player': {'id': 5055, 'name': 'Lynn Williams'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [115.0, 3.0], 'player': {'id': 5088, 'name': 'Crystal Alyssia Dunn'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [89.0, 17.0], 'player': {'id': 5084, 'name': 'Denise O""Sullivan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [85.0, 31.0], 'player': {'id': 5091, 'name': 'McCall Zerboni'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",33.0,Shot Saved,15.0,Success,44.0,Set,,7430,"119.0, 40.3, 1.6","106.0, 32.0","3.0, 42.0",False,119.0,40.3,1.6,106.0,32.0,3.0,42.0,-1,-1,17
3,7fe4bf5d-f634-4a7b-ac14-f4b71e838331,1,00:13:47.693,766,North Carolina Courage,4,From Throw In,759,Washington Spirit,"[15.0, 29.0]",5025.0,Aubrey Bledsoe,,,,,,,,,,,,,,,,,,,,,,,25.0,Collected,50.0,Fail,,,,7430,nan,False,"15.0, 29.0",False,,,,-1.0,-1.0,15.0,29.0,-1,-1,0
4,105fa431-3603-4b67-b2d4-fe44ff69e2f7,1,00:15:40.813,759,Washington Spirit,1,Regular Play,766,North Carolina Courage,,5102.0,Sabrina D’Angelo,,,,,,,,,,,,,,,,,,,,,,,31.0,Save,53.0,In Play Safe,44.0,Set,,7430,nan,False,False,False,,,,-1.0,-1.0,-1,-1,-1,-1,0
5,6f6c33db-a8c4-414b-a799-35adc233b720,1,00:16:48.333,766,North Carolina Courage,7,From Goal Kick,759,Washington Spirit,"[3.0, 41.0]",5025.0,Aubrey Bledsoe,North Carolina Courage,7.0,From Goal Kick,766.0,North Carolina Courage,"[95.0, 48.0]",5088.0,Crystal Alyssia Dunn,17.0,Right Wing,0.030649086000000002,"[120.0, 42.2, 2.3]",100.0,Saved,93.0,Normal,87.0,Open Play,,40.0,Right Foot,"[{'location': [94.0, 61.0], 'player': {'id': 5083, 'name': 'Merritt Mathias'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [85.0, 56.0], 'player': {'id': 5022, 'name': 'Francisca Ordega'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [118.0, 40.0], 'player': {'id': 5025, 'name': 'Aubrey Bledsoe'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.0, 48.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [98.0, 45.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [102.0, 43.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.0, 29.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.0, 36.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [90.0, 29.0], 'player': {'id': 4946, 'name': 'Joanna Lohman'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [95.0, 29.0], 'player': {'id': 5023, 'name': 'Mallory Pugh'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [90.0, 26.0], 'player': {'id': 5080, 'name': 'Kristen Hamilton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [97.0, 34.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [101.0, 33.0], 'player': {'id': 5055, 'name': 'Lynn Williams'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",33.0,Shot Saved,53.0,In Play Safe,44.0,Set,,7430,"120.0, 42.2, 2.3","95.0, 48.0","3.0, 41.0",False,120.0,42.2,2.3,95.0,48.0,3.0,41.0,-1,-1,14
6,17224e59-0b93-4289-a45e-dd2f19324001,1,00:19:27.093,766,North Carolina Courage,6,From Counter,759,Washington Spirit,"[2.0, 44.0]",5025.0,Aubrey Bledsoe,North Carolina Courage,1.0,Regular Play,766.0,North Carolina Courage,"[110.0, 21.0]",5055.0,Lynn Williams,24.0,Left Center Forward,0.02408877,"[114.0, 29.0]",96.0,Blocked,93.0,Normal,87.0,Open Play,,40.0,Right Foot,"[{'location': [114.0, 33.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [119.0, 37.0], 'player': {'id': 5025, 'name': 'Aubrey Bledsoe'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.0, 52.0], 'player': {'id': 5080, 'name': 'Kristen Hamilton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [107.0, 37.0], 'player': {'id': 5088, 'name': 'Crystal Alyssia Dunn'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [114.0, 24.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.0, 28.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.0, 35.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [113.0, 46.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [115.0, 34.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [84.0, 56.0], 'player': {'id': 4956, 'name': 'Mallory Eubanks'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}]",32.0,Shot Faced,,,44.0,Set,"[3.0, 41.0]",7430,"114.0, 29.0","110.0, 21.0","2.0, 44.0","3.0, 41.0",114.0,29.0,,110.0,21.0,2.0,44.0,3.0,41.0,16
7,abdda0bd-30b0-453c-a9a5-fb59ba64dffb,1,00:19:29.280,766,North Carolina Courage,1,Regular Play,759,Washington Spirit,"[2.0, 41.0]",5025.0,Aubrey Bledsoe,North Carolina Courage,6.0,From Counter,766.0,North Carolina Courage,"[112.0, 41.0]",5088.0,Crystal Alyssia Dunn,17.0,Right Wing,0.14978051,"[119.0, 38.0, 0.5]",97.0,Goal,95.0,Volley,87.0,Open Play,,40.0,Right Foot,"[{'location': [112.0, 49.0], 'player': {'id': 5080, 'name': 'Kristen Hamilton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [119.0, 40.0], 'player': {'id': 5025, 'name': 'Aubrey Bledsoe'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.0, 24.0], 'player': {'id': 5055, 'name': 'Lynn Williams'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [109.0, 28.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.0, 31.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.0, 34.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [114.0, 36.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.0, 40.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [114.0, 42.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",26.0,Goal Conceded,55.0,No Touch,44.0,Set,,7430,"119.0, 38.0, 0.5","112.0, 41.0","2.0, 41.0",False,119.0,38.0,0.5,112.0,41.0,2.0,41.0,-1,-1,17
8,48c0a658-80a2-4996-8322-22a3ec88d038,1,00:21:55.653,766,North Carolina Courage,2,From Corner,759,Washington Spirit,"[2.0, 40.0]",5025.0,Aubrey Bledsoe,North Carolina Courage,2.0,From Corner,766.0,North Carolina Courage,"[111.0, 44.0]",5055.0,Lynn Williams,24.0,Left Center Forward,0.03063573,"[103.0, 40.0]",101.0,Wayward,93.0,Normal,87.0,Open Play,,37.0,Head,"[{'location': [119.0, 41.0], 'player': {'id': 5025, 'name': 'Aubrey Bledsoe'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [119.0, 44.0], 'player': {'id': 5022, 'name': 'Francisca Ordega'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [112.0, 54.0], 'player': {'id': 5080, 'name': 'Kristen Hamilton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [107.0, 50.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [108.0, 48.0], 'player': {'id': 4964, 'name': 'Ashley Hatch'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [119.0, 37.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.0, 43.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.0, 39.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.0, 32.0], 'player': {'id': 5023, 'name': 'Mallory Pugh'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [113.0, 35.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [112.0, 34.0], 'player': {'id': 4946, 'name': 'Joanna Lohman'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [113.0, 36.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.0, 39.0], 'player': {'id': 4956, 'name': 'Mallory Eubanks'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [114.0, 44.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [116.0, 41.0], 'player': {'id': 5081, 'name': 'Abby Dahlkemper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}]",32.0,Shot Faced,,,44.0,Set,"[2.0, 40.0]",7430,"103.0, 40.0","111.0, 44.0","2.0, 40.0","2.0, 40.0",103.0,40.0,,111.0,44.0,2.0,40.0,2.0,40.0,17
9,69a1f8cf-885b-4204-a159-4d0f8b27672e,1,00:23:22.720,766,North Carolina Courage,3,From Free Kick,759,Washington Spirit,"[2.0, 42.0]",5025.0,Aubrey Bledsoe,North Carolina Courage,3.0,From Free Kick,766.0,North Carolina Courage,"[101.0, 42.0]",5091.0,McCall Zerboni,15.0,Left Center Midfield,0.14624472,"[119.0, 36.6, 1.4]",97.0,Goal,93.0,Normal,87.0,Open Play,,40.0,Right Foot,"[{'location': [101.0, 44.0], 'player': {'id': 5055, 'name': 'Lynn Williams'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [99.0, 46.0], 'player': {'id': 5047, 'name': 'Jaelene Hinkle'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [119.0, 39.0], 'player': {'id': 5025, 'name': 'Aubrey Bledsoe'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.0, 34.0], 'player': {'id': 5088, 'name': 'Crystal Alyssia Dunn'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [112.0, 45.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.0, 36.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.0, 44.0], 'player': {'id': 5022, 'name': 'Francisca Ordega'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [112.0, 43.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [112.0, 42.0], 'player': {'id': 4956, 'name': 'Mallory Eubanks'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [112.0, 41.0], 'player': {'id': 4964, 'name': 'Ashley Hatch'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [112.0, 40.0], 'player': {'id': 4946, 'name': 'Joanna Lohman'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [111.0, 43.0], 'player': {'id': 5080, 'name': 'Kristen Hamilton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [111.0, 41.0], 'player': {'id': 5084, 'name': 'Denise O""Sullivan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [111.0, 37.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.0, 31.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.0, 39.0], 'player': {'id': 5023, 'name': 'Mallory Pugh'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [111.0, 30.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",26.0,Goal Conceded,55.0,No Touch,44.0,Set,,7430,"119.0, 36.6, 1.4","101.0, 42.0","2.0, 42.0",False,119.0,36.6,1.4,101.0,42.0,2.0,42.0,-1,-1,17
